"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","74000000","","312000000","617000000","430000000","502000000","767000000","467000000","307000000","471000000","1234000000","874000000","582000000","728000000","779000000","1423000000","1279000000","2142000000","2638000000","959000000","1239000000","1635000000","1409000000","1348000000","1181000000","1074000000","1551000000","1877000000","1269000000","321000000","274000000","224000000","","407000000","413000000","96000000","308000000","350000000","","","521000000","403000000","","","","598000000","1035000000","1070000000","747000000","408000000","","1116000000","987000000","543000000","299000000","329000000","","","","","","","258000000","166000000","","",
"Afghanistan","AFG","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","39000000","55000000","64000000","40000000","56000000","91000000","198000000","230000000","145000000","92000000","9000000","149000000","124000000","","","90000000","230000000","75000000","253000000","337000000","354000000","384000000","299000000","241000000","373000000","158000000","288000000","567000000","1005000000","1976000000","1690000000","1236000000","","","","","","","","","","","34000000","","","33000000","3000000","40000000","148000000","326000000","365000000","632000000","518000000","253000000","323000000","131000000","171000000","236000000","313000000","381000000","231000000","65000000","","","","",
"Africa Western and Central","AFW","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","51000000","136000000","41000000","28000000","56000000","119000000","195000000","91000000","89000000","113000000","57000000","155000000","135000000","93000000","162000000","","442000000","304000000","427000000","416000000","709000000","609000000","854000000","226000000","671000000","610000000","373000000","215000000","158000000","194000000","144000000","","","","136000000","","","85000000","","","111000000","56000000","84000000","159000000","83000000","","102000000","181000000","164000000","218000000","362000000","253000000","221000000","341000000","573000000","264000000","223000000","156000000","159000000","186000000","199000000","506000000","323000000","565000000","360000000","",
"Angola","AGO","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","","","","","","","","","","","","","","","1000000","232000000","192000000","105000000","146000000","111000000","153000000","243000000","381000000","579000000","483000000","535000000","710000000","1193000000","971000000","152000000","140000000","","","123000000","113000000","1000000","44000000","7000000","150000000","360000000","149000000","157000000","148000000","48000000","8000000","38000000","7000000","35000000","29000000","20000000","","","","31000000","2000000","51000000","154000000","112000000","273000000","170000000","51000000","","46000000","15000000","16000000","",
"Albania","ALB","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","69000000","74000000","42000000","12000000","8000000","140000000","74000000","163000000","265000000","297000000","250000000","332000000","134000000","106000000","137000000","53000000","5000000","7000000","5000000","","","","","","","","","","","","","","","","","26000000","","","","","","","","2000000","","7000000","","5000000","","","","","15000000","7000000","7000000","7000000","","1000000","1000000","5000000","1000000","1000000","","1000000","12000000","",
"Andorra","AND","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","593000000","829000000","1288000000","1275000000","1587000000","1984000000","3496000000","4711000000","3365000000","3736000000","4281000000","3886000000","6549000000","9215000000","9078000000","6371000000","5994000000","9692000000","11444000000","11399000000","11945000000","13655000000","16607000000","13768000000","12584000000","10641000000","10291000000","10032000000","5514000000","5790000000","6492000000","4400000000","3742000000","5287000000","4188000000","4767000000","5314000000","6086000000","4926000000","3445000000","2747000000","2104000000","2902000000","2379000000","4086000000","4466000000","4200000000","3225000000","4134000000","4103000000","5420000000","7354000000","5943000000","7102000000","7621000000","9889000000","12300000000","11773000000","9627000000","8162000000","6856000000","7080000000","11508000000","7195000000","5040000000","",
"United Arab Emirates","ARE","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","","","","","","","","","13000000","13000000","69000000","24000000","26000000","88000000","100000000","153000000","283000000","304000000","217000000","18000000","201000000","427000000","160000000","163000000","310000000","144000000","132000000","191000000","42000000","663000000","561000000","237000000","205000000","582000000","571000000","426000000","481000000","690000000","757000000","437000000","246000000","183000000","221000000","676000000","1145000000","2072000000","1925000000","821000000","730000000","604000000","646000000","1217000000","1139000000","2302000000","734000000","1182000000","941000000","820000000","1055000000","703000000","651000000","538000000","714000000","948000000","932000000","",
"Argentina","ARG","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","111000000","205000000","47000000","29000000","19000000","7000000","93000000","143000000","430000000","230000000","257000000","363000000","402000000","248000000","450000000","268000000","499000000","204000000","434000000","451000000","446000000","833000000","406000000","1309000000","724000000","485000000","219000000","217000000","71000000","6000000","159000000","","27000000","","209000000","43000000","21000000","105000000","171000000","276000000","208000000","6000000","15000000","11000000","161000000","3000000","9000000","24000000","21000000","15000000","11000000","16000000","5000000","13000000","6000000","21000000","17000000","47000000","19000000","51000000","7000000","77000000","50000000","21000000","43000000","",
