"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","121895325","125564573","129172880","132861621","136840328","140779265","144315891","147794549","151806301","156114060","160532909","165077374","169867381","174808789","179796039","184939364","189833993","194763519","199885621","204642061","209603737","216593145","220782640","230020954","234282265","240328676","245924910","251170980","257765403","264515662","268425249","277268587","287406365","286716203","290536403","299259550",
"Afghanistan","AFG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2974181","3009251","3248953","3636608","3930551","4100434","4239207","4372875","4509602","4651589","4684205","4702818","4947295","5259694","5459174","5672338","5937185","6089849","6273854","6563683","6823542","7149401","7518518","7857574","8229616","8575264","8883595","9223903","9215046","9192643","9060510","9128262","8617545","8846502","9145340","9433041",
"Africa Western and Central","AFW","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86073599","88811572","91796466","94753565","97834617","100818466","103657135","106638923","109763068","112983218","116104360","119319649","122566194","125844040","129286401","132705270","136190643","139754466","143298703","147016162","150676077","154654898","158619556","162414039","166240287","170478876","175381549","179638384","184477200","189456579","191755366","199049398","207075183","215067825","221658072","228165613",
"Angola","AGO","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4924638","5078829","5234382","5391763","5558037","5741253","5938382","6147010","6362468","6582797","6813281","7055911","7311174","7582160","7870095","8170696","8483347","8810729","9150465","9502781","9873442","10270426","10636117","11009075","11376942","11740075","12119717","12515803","12917977","13331298","13484525","14529142","14812783","15255232","15787244","16321277",
"Albania","ALB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1408834","1508188","1527908","1491699","1460475","1416048","1384852","1414713","1386216","1349592","1329781","1305821","1304298","1290479","1275726","1259700","1241897","1222005","1201455","1247208","1259163","1376922","1299606","1184290","1194487","1227883","1254637","1256406","1267869","1273761","1238064","1227911","1261497","1279356","1265271","1262236",
"Andorra","AND","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60540033","62371261","64609299","67108576","69720782","71565615","73615393","75627568","77718394","80918329","82938192","84623937","86083685","89054609","92131264","95385337","98939025","102860607","105996614","109358819","112953785","115864212","118194109","121494804","124397913","126292366","129289455","129780087","130644318","132547105","132005114","134965857","140926434","134541479","136499778","139410615",
"United Arab Emirates","ARE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","993900","1065917","1139611","1217956","1294180","1373245","1477735","1607913","1749621","1901019","2060609","2229575","2406156","2586345","2768037","2952666","3202706","3609902","4037891","4270876","4376792","4542648","4738061","4948156","5205610","5517279","5830903","6046380","6158515","6256531","6178311","6160044","6499963","6873426","7233386","7424844",
"Argentina","ARG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13464669","13899045","14312489","14742103","15116295","15243917","15613030","16058261","16382407","16481391","16658086","16713495","16535085","17011226","17502349","17624307","17955872","18001087","18041663","18399678","18468692","18857586","19006986","19111596","19177885","19343227","19497873","19643677","20125838","20580300","19317784","20993886","21566906","22069879","22161435","22422031",
"Armenia","ARM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1631762","1655662","1616135","1533771","1475516","1441118","1426441","1412814","1411779","1422494","1475960","1493640","1500767","1502199","1503545","1506023","1509698","1513707","1503687","1531465","1522315","1509387","1499083","1494270","1485574","1477065","1469687","1456321","1448464","1387309","1448279","1467125","1399516","1430641","1467933","1449654",
"American Samoa","ASM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8500719","8539975","8607321","8638153","8799524","8996098","9118415","9179631","9271447","9358682","9542614","9713101","9859433","10032150","10143548","10443456","10664324","10951719","11241263","11482552","11675443","11857590","12022336","12191663","12332149","12568796","12744765","13022869","13344850","13618789","13583584","13859964","14230223","14646578","14907959","15033307",
"Austria","AUT","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3524952","3585317","3674884","3717260","3827748","3846779","3823952","3815158","3848029","3874871","3883391","3872867","3955409","3985902","3946112","4012358","4078846","4165230","4207426","4248651","4265488","4291049","4340007","4382851","4407077","4460463","4541001","4567690","4608423","4627750","4607777","4650207","4715201","4762160","4763195","4731937",
"Azerbaijan","AZE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3301133","3345875","3518607","3732857","3946235","4107634","4172243","4211106","4232868","4281195","4306234","4283030","4260614","4242455","4179032","4180297","4157327","4042762","4094522","4219228","4281288","4368984","4449918","4508074","4602987","4693026","4809412","4876185","4955866","4998924","5197914","4963081","5071753","5073676","5097655","5118728",
"Burundi","BDI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2581935","2607838","2664991","2457056","2445092","2681962","2631487","2586586","2636111","2711621","2766896","2838292","2918476","3009287","3123186","3227287","3316162","3458975","3627058","3843653","4037123","4169441","4302379","4439368","4568956","4650400","4696640","4797040","4958957","5145487","5256681","5484419","5691432","5893737","6097715","6308213",
"Belgium","BEL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3938244","4027934","4070771","4096201","4162431","4194014","4204594","4226864","4260848","4368200","4412646","4307825","4358408","4395670","4480433","4627612","4647632","4735412","4779497","4801697","4901576","4884172","4917260","4966858","4984459","4994454","5001167","5037325","5093485","5146209","5124712","5217415","5320892","5365023","5432908","5433161",
"Benin","BEN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2052309","2116070","2182477","2300455","2394402","2427651","2486709","2563287","2648475","2737746","2830348","2925855","3024243","3128205","3235131","3353095","3468401","3577425","3695226","3820397","3950053","4080183","4235463","4393926","4557889","4727555","4901776","5081385","5267149","5459336","5605006","5877845","6074872","6260192","6447181","6644562",
"Burkina Faso","BFA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4077503","4170246","4252688","4344231","4444988","4553094","4663584","4779014","4913899","5068035","5231474","5404652","5585808","5771423","5960801","6152177","6339851","6517021","6684501","6852468","7026133","7209651","7407953","7612290","7823803","8047980","8284194","8529005","8776683","9029420","9036235","9191515","9286105","9442280","9601936","9914873",
"Bangladesh","BGD","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36309221","37393210","38518429","39681340","40903868","42190668","43526326","44900980","46289164","47683629","49048139","50230500","51244757","52208969","53140734","54049068","54908227","55892527","56846810","57807404","58796583","59281113","59869794","60484221","61204476","61920877","62629015","66147765","67683856","69165404","70314500","72637932","74651451","74789575","73619393","74739682",
"Bulgaria","BGR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3491632","3470217","3450609","3433418","3432780","3427355","3413411","3450756","3432014","3458070","3441466","3494894","3404016","3340007","3379275","3314525","3421452","3500732","3562863","3489069","3424396","3339707","3358087","3333973","3290417","3259536","3159813","3235284","3181267","3209606","3132138","3082471","3134677","3134615","3100224","3073503",
"Bahrain","BHR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","228153","221644","227938","234206","240964","248109","255751","264086","273175","282954","293400","307924","335569","366810","401712","445275","494758","551013","602188","661715","701770","677360","693460","719472","745356","777303","818900","871711","868320","846623","816393","837039","867174","903224","911274","932073",
"Bahamas, The","BHS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","140803","144678","148521","152275","155918","159055","162113","165102","168035","170893","173823","176723","179578","182667","185918","189152","192637","196607","200608","204367","208102","211745","215079","218257","221339","224301","227165","230010","232799","235355","216992","223263","239500","241834","243754","245159",
"Bosnia and Herzegovina","BIH","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1825158","1852103","1756129","1591188","1506562","1503812","1586917","1665533","1706529","1737464","1760409","1779186","1792171","1792383","1779371","1760240","1749717","1732512","1707270","1678662","1646045","1611361","1578701","1549763","1526206","1503962","1480171","1457512","1434054","1409096","1353715","1339593","1355798","1366194","1354967","1340707",
